time, x, y, z
665,-0.4405331,-0.46926352,2.4516625
670,-0.30645782,-0.48841715,2.4516625
675,-0.1436521,-0.4405331,2.231396
680,0.009576807,-0.4405331,2.0494366
685,0.16280572,-0.34476504,1.8291701
690,0.30645782,-0.30645782,1.6950948
695,0.23942018,-0.19153613,1.541866
700,0.15322891,-0.17238252,1.283292
705,-0.076614454,-0.076614454,1.2354081
710,-0.2681506,-0.16280572,1.0821792
715,-0.6607997,-0.15322891,0.9864111
720,-1.0630256,-0.12449849,1.0055647
725,-1.4652514,-0.06703765,1.091756
730,-1.7621324,-0.019153614,1.13964
735,-2.0685902,0.15322891,1.5514427
740,-2.2697031,0.25857377,2.0398598
745,-2.384625,0.4405331,2.6431987
750,-2.384625,0.39264908,3.3518825
755,-2.327164,0.48841715,3.964798
760,-2.135628,0.47884035,4.7022123
765,-2.0015526,0.39264908,5.6407394
770,-1.8483237,0.20111294,6.3206925
775,-1.5801731,-0.21068975,6.8761473
780,-1.2066777,-0.63206923,7.335834
785,-0.90021986,-0.79487497,7.7667904
790,-0.40222588,-1.1013328,8.073248
795,0.06703765,-1.340753,8.274361
800,0.36391866,-1.4460979,8.485051
805,0.7661445,-1.5993267,8.63828
810,0.90021986,-1.6759412,8.6574335
815,0.9672575,-1.7046716,8.6095495
820,0.90979666,-1.5993267,8.504205
825,0.5746084,-1.4460979,8.6095495
830,0.38307226,-1.388637,8.676587
835,-0.019153614,-1.4556746,8.820239
840,-0.29688102,-1.4460979,9.078813
845,-0.61291564,-1.6280571,9.634268
850,-0.81402856,-1.7717092,10.151415
855,-1.0151415,-1.8962077,10.888829
860,-1.13964,-2.0685902,11.63582
865,-1.3982137,-2.2218192,12.430696
870,-1.685518,-2.3654714,13.311762
875,-2.1452048,-2.5953147,13.924677
880,-2.5570073,-2.767697,14.54717
885,-2.8443117,-2.8443117,14.911088
890,-2.8921957,-2.8060043,15.150508
895,-2.6240451,-2.873042,15.131354
900,-2.2409728,-2.9400797,15.073894
905,-1.8387469,-2.96881,15.045163
910,-1.6184803,-2.9113493,15.073894
915,-1.3694834,-3.0071173,14.901511
920,-1.091756,-3.1411927,14.595054
925,-0.9768343,-3.1890767,14.144943
930,-0.7757214,-3.2082303,13.723564
935,-0.5650316,-3.169923,13.340492
940,-0.41180268,-2.9783869,13.101071
945,-0.39264908,-2.9592333,13.062764
950,-0.4213795,-2.8921957,12.737153
955,-0.5554548,-2.9975405,12.909535
960,-0.6607997,-3.1028855,13.283031
965,-0.61291564,-3.2369606,14.049175
970,-1.0821792,-3.2561142,14.18325
975,-1.1683705,-3.3039982,14.192827
980,-1.1875241,-3.3135753,14.231135
985,-1.4460979,-3.2848446,14.518439
990,-1.8866309,-3.2944214,14.796166
995,-2.3175871,-3.3423057,15.112201
1000,-2.6623523,-3.4380736,15.332468
1005,-2.7964275,-3.6391866,15.428236
1010,-2.6910827,-3.6487634,15.332468
1015,-2.4133554,-3.6966474,15.763424
1020,-2.4037786,-3.5242648,16.836027
1025,-2.3942018,-3.6966474,17.7554
1030,-2.5474305,-3.8594532,18.693928
1035,-2.7389667,-3.8498764,19.258959
1040,-2.920926,-3.9073372,19.929335
1045,-3.016694,-3.8019924,19.88145
1050,-3.3135753,-3.8402996,19.546263
1055,-3.572149,-3.667917,18.703505
1060,-4.405331,-3.2273839,17.448942
1065,-4.8841715,-2.6527755,15.619772
1070,-4.9799395,-2.1452048,14.001291
1075,-5.1906295,-1.7812861,12.737153
1080,-5.7843914,-1.4556746,10.97502
1085,-4.405331,-0.6895301,10.601525
1090,-3.217807,0.095768064,11.204864
1095,-3.667917,0.5746084,11.760319
1100,-4.721366,0.7182605,12.29662
1105,-5.592855,0.4405331,13.158532
1110,-6.2728086,0.25857377,13.934254
1115,-6.4260373,0.06703765,14.298173
1120,-6.157887,0.15322891,14.250289
1125,-5.6120086,0.16280572,13.905523
1130,-5.161899,0.06703765,13.091495
1135,-4.4723687,0.18195933,12.880805
1140,-3.8977604,-0.46926352,13.206416
1145,-3.5913026,-1.0821792,14.058752
1150,-3.7732618,-1.8483237,16.414646
1155,-4.596867,-2.7581203,18.02355
1160,-6.1100025,-3.715801,17.180792
1165,-7.1347213,-3.6104562,17.381905
1170,-6.9144545,-3.4859576,18.646044
1175,-6.1866174,-3.715801,19.172768
1180,-5.851429,-4.223372,18.799273
1185,-7.029376,-4.759673,18.722658
1190,-8.37013,-5.2002063,20.714634
1195,-8.724471,-5.0757074,23.195026
1200,-9.088389,-4.960786,24.899698
1205,-9.442732,-5.4300494,25.73288
1210,-9.557653,-5.7365074,25.215733
1215,-9.615114,-5.1810527,23.999477
1220,-9.586384,-4.156334,22.323536
1225,-8.887277,-3.7253778,20.398598
1230,-8.39886,-3.6774938,18.377892
1235,-8.303091,-3.7253778,16.46253
1240,-8.7532015,-4.050989,15.629349
1245,-9.404425,-4.367024,14.987702
1250,-10.218452,-5.0278234,14.738706
1255,-10.716447,-5.8801594,14.78659
1260,-11.348516,-6.6654577,14.997279
1265,-11.9614315,-7.469909,16.232687
1270,-12.430696,-8.571242,18.397045
1275,-13.311762,-9.998186,20.12087
1280,-14.623784,-11.760319,21.231781
1285,-16.203957,-12.861651,21.768082
1290,-18.08101,-13.206416,21.222204
1295,-19.412188,-13.704411,20.647596
1300,-19.469648,-14.54717,19.28769
1305,-18.598158,-15.073894,16.836027
1310,-17.266983,-15.20797,14.039598
1315,-15.993267,-14.930242,11.300632
1320,-15.370775,-14.987702,9.528923
1325,-13.838486,-15.763424,8.801085
1330,-11.9135475,-16.136919,9.155427
1335,-10.237606,-16.089035,10.036493
1340,-8.724471,-15.859192,10.371682
1345,-7.6614456,-15.045163,10.524911
1350,-6.6271505,-13.867216,10.314221
1355,-5.8322754,-12.53604,9.155427
1360,-5.554548,-11.587936,7.6231384
1365,-5.793968,-11.769896,5.9759274
1370,-6.655881,-12.641385,4.9895163
1375,-7.1730285,-13.139379,4.280833
1380,-7.8146744,-12.612655,3.5051112
1385,-8.159439,-11.21444,2.767697
1390,-8.571242,-9.500193,2.3558946
1395,-8.973468,-7.824251,2.0494366
1400,-9.356541,-6.5601125,1.3120226
1405,-10.247183,-4.711789,0.4309563
1410,-11.616667,-2.528277,0.0
1415,-13.177686,-0.78529817,0.4213795
1420,-13.953407,0.545878,1.5035586
1425,-14.106636,2.0207062,2.96881
1430,-13.972561,3.2273839,5.257667
1435,-13.196839,4.098873,7.9583263
1440,-12.11466,4.5394063,10.189722
1445,-10.965444,4.903325,11.741165
1450,-9.279925,5.2768207,12.899959
1455,-7.3645644,5.813122,13.101071
1460,-5.592855,6.483498,13.091495
1465,-3.2369606,7.086837,12.804191
1470,-1.532289,7.642292,12.421119
1475,-0.50757074,7.8050976,12.133814
1480,0.79487497,7.603985,13.378799
1485,0.5650316,7.07726,11.530476
1490,1.3024458,5.9663506,8.456321
1495,3.2369606,4.5777135,5.353435
1500,5.0661306,3.1890767,2.1452048
1505,6.4739213,1.7717092,-0.5650316
1510,8.868123,-0.78529817,-2.920926
1515,9.528923,-1.4556746,-3.821146
1520,8.197746,-0.92895025,-5.6790466
1525,7.07726,-0.5746084,-5.45878
1530,6.215348,-0.8523358,-5.506664
1535,5.391742,-1.733402,-5.3725886
1540,5.5162406,-2.5187001,-4.4340615
1545,6.1195793,-2.767697,-3.3614593
1550,6.7803793,-2.6719291,-2.528277
1555,6.646304,-2.4037786,-1.8866309
1560,5.947197,-2.4229321,-1.1492168
1565,5.00867,-2.5187001,0.17238252
1570,3.5625722,-2.3080103,1.484405
1575,2.0973208,-1.388637,3.0933087
1580,0.5650316,-0.61291564,4.4244847
1585,-0.90021986,0.047884032,5.2480903
1590,-2.0590134,0.545878,5.765238
1595,-2.6240451,1.0534488,6.081272
1600,-3.0454245,1.6376339,6.1387334
1605,-3.2369606,2.0685902,5.985504
1610,-3.3614593,2.4899697,5.4779334
1615,-3.3518825,2.9496565,5.21936
1620,-2.9975405,3.169923,4.7979803
1625,-2.7581203,3.2944214,4.4819455
1630,-2.480393,3.2273839,3.964798
1635,-2.2026656,3.1507695,3.6391866
1640,-2.087744,2.8538885,3.3901896
1645,-2.1547816,2.6048915,3.1603463
1650,-2.0111294,2.3080103,2.873042
1655,-2.0398598,1.9057846,2.2984335
1660,-2.0685902,1.6663644,1.5610195
1665,-1.8387469,1.5035586,0.8619126
1670,-1.4652514,1.3024458,0.24899697
1675,-0.9768343,1.1204864,-0.4309563
1680,-0.5267244,1.0630256,-0.9864111
1685,-0.2777274,0.79487497,-1.3790601
1690,-0.4405331,0.6991069,-1.5993267
1695,-0.7661445,0.7469909,-1.7717092
1700,-1.1779473,0.7374141,-1.8962077
1705,-1.5993267,0.94810385,-1.934515
1710,-2.2888567,1.3982137,-1.6089035
1715,-3.0550013,1.6759412,-1.1875241
1720,-3.7541082,1.9153614,-0.5650316
1725,-4.2904096,1.9728222,-0.11492168
1730,-4.596867,1.9632454,0.16280572
1735,-4.6351743,1.7621324,0.17238252
1740,-4.76925,1.6663644,-0.009576807
1745,-5.104438,1.3694834,-0.1340753
1750,-5.4779334,1.1683705,-0.10534488
1755,-5.9759274,0.89064306,0.15322891
1760,-6.4260373,0.58418524,0.34476504
1765,-6.4164605,0.37349546,0.24899697
1770,-6.1770406,0.1436521,0.38307226
1775,-6.0046577,-0.1436521,0.4309563
1780,-5.7269306,-0.37349546,0.545878
1785,-5.583278,-0.6703765,0.6512229
1790,-5.2002063,-0.8523358,0.5650316
1795,-4.8267107,-1.0534488,0.39264908
1800,-4.4244847,-1.1875241,0.2873042
1805,-4.10845,-1.3120226,0.076614454
1810,-3.821146,-1.4460979,-0.02873042
1815,-3.6487634,-1.6567876,0.19153613
1820,-3.5625722,-1.8195933,0.641646
1825,-3.572149,-1.9919758,1.1875241
1830,-3.8115692,-2.1068976,1.9057846
1835,-4.0797195,-2.0015526,2.566584
1840,-4.4723687,-1.8291701,3.122039
1845,-5.1140146,-1.6376339,3.7828386
1850,-5.544971,-1.340753,4.501099
1855,-5.4204726,-1.0247183,5.0757074
1860,-4.9224787,-0.59376204,5.1140146
1865,-4.4244847,-0.34476504,5.0757074
1870,-3.7062242,-0.095768064,4.7788267
1875,-2.834735,0.21068975,4.357447
1880,-1.9536686,0.5650316,3.8881836
1885,-1.2737153,0.79487497,3.3135753
1890,-0.59376204,1.0151415,2.719813
1895,0.08619126,1.3503298,2.0685902
1900,0.6895301,2.0111294,1.436521
1905,1.0726024,2.7581203,0.6991069
1910,1.2066777,3.572149,0.15322891
1915,1.13964,4.2425256,-0.36391866
1920,1.0821792,4.8937483,-0.8619126
1925,1.0726024,5.5258174,-1.4652514
1930,1.043872,5.90889,-2.1930888
1935,1.3982137,6.1770406,-2.9113493
1940,1.8483237,6.339846,-3.6391866
1945,2.327164,6.3302693,-4.357447
1950,2.9879637,6.2632318,-5.00867
1955,3.7253778,5.90889,-5.5162406
1960,4.673482,5.5641246,-5.889736
1965,5.746084,4.9895163,-6.4643445
1970,7.144298,4.3957543,-6.895301
1975,8.561666,3.9264908,-7.335834
1980,10.524911,3.4093432,-7.699753
1985,12.143391,2.8634653,-7.795521
1990,13.053187,2.384625,-7.422025
1995,13.129802,2.0973208,-6.8761473
2000,12.603078,1.9919758,-6.0238113
2005,11.587936,1.8483237,-5.1140146
2010,10.371682,1.5993267,-3.7445314
2015,8.848969,1.3503298,-1.8195933
2020,7.07726,0.9959879,0.15322891
2025,4.912902,0.2777274,2.4995465
2030,2.1164744,-0.641646,4.4819455
2035,-1.1779473,-1.6950948,6.1866174
2040,-4.4244847,-3.1890767,7.393295
2045,-7.3645644,-5.1235914,8.63828
